plate_well,plate,well
IVL_Plate_v3_96cassettes_ABformat_0001|88,IVL_Plate_v3_96cassettes_ABformat_0001,88
IVL_Plate_v3_96cassettes_ABformat_0001|89,IVL_Plate_v3_96cassettes_ABformat_0001,89
IVL_Plate_v3_96cassettes_ABformat_0001|9,IVL_Plate_v3_96cassettes_ABformat_0001,9
IVL_Plate_v3_96cassettes_ABformat_0001|90,IVL_Plate_v3_96cassettes_ABformat_0001,90
IVL_Plate_v3_96cassettes_ABformat_0001|91,IVL_Plate_v3_96cassettes_ABformat_0001,91
IVL_Plate_v3_96cassettes_ABformat_0001|92,IVL_Plate_v3_96cassettes_ABformat_0001,92
IVL_Plate_v3_96cassettes_ABformat_0001|93,IVL_Plate_v3_96cassettes_ABformat_0001,93
IVL_Plate_v3_96cassettes_ABformat_0001|94,IVL_Plate_v3_96cassettes_ABformat_0001,94
IVL_Plate_v3_96cassettes_ABformat_0001|95,IVL_Plate_v3_96cassettes_ABformat_0001,95
IVL_Plate_v3_96cassettes_ABformat_0001|96,IVL_Plate_v3_96cassettes_ABformat_0001,96
ivl_384_flat_v1_0001|1,ivl_384_flat_v1_0001,1
ivl_384_flat_v1_0001|3,ivl_384_flat_v1_0001,3
ivl_96_dw_v1_0001|1,ivl_96_dw_v1_0001,1
ivl_96_dw_v1_0001|10,ivl_96_dw_v1_0001,10
ivl_96_dw_v1_0001|11,ivl_96_dw_v1_0001,11
ivl_96_dw_v1_0001|12,ivl_96_dw_v1_0001,12
ivl_96_dw_v1_0001|2,ivl_96_dw_v1_0001,2
ivl_96_dw_v1_0001|3,ivl_96_dw_v1_0001,3
ivl_96_dw_v1_0001|4,ivl_96_dw_v1_0001,4
ivl_96_dw_v1_0001|5,ivl_96_dw_v1_0001,5
ivl_96_dw_v1_0001|6,ivl_96_dw_v1_0001,6
ivl_96_dw_v1_0001|7,ivl_96_dw_v1_0001,7
ivl_96_dw_v1_0001|8,ivl_96_dw_v1_0001,8
ivl_96_dw_v1_0001|9,ivl_96_dw_v1_0001,9
